,Voltages,Times
152,-1.9e-05,1647439962.3814323
153,-1.9e-05,1647439967.3814187
154,-2.1e-05,1647439972.3814366
155,-1.8e-05,1647439977.3814309
156,-1.6e-05,1647439982.381427
157,-1.9e-05,1647439987.3813922
158,-1.6e-05,1647439992.3813753
159,-1.7e-05,1647439997.381472
160,-1.4e-05,1647440002.3814433
161,-1.7e-05,1647440007.3814795
162,-1.7e-05,1647440012.3814695
163,-1.5e-05,1647440017.3814495
164,-1.5e-05,1647440022.3814733
165,-1.7e-05,1647440027.3813994
166,-1.9e-05,1647440032.3814216
167,-1.9e-05,1647440037.3814902
168,-1.6e-05,1647440042.3814285
169,-1.5e-05,1647440047.3814595
170,-1.6e-05,1647440052.3814363
171,-1.7e-05,1647440057.3813834
172,-1.7e-05,1647440062.3814707
173,-1.8e-05,1647440067.3813493
174,-1.6e-05,1647440072.3813744
175,-1.9e-05,1647440077.381467
176,-1.8e-05,1647440082.381427
177,-1.8e-05,1647440087.381439
178,-1.7e-05,1647440092.3814611
179,-1.8e-05,1647440097.38148
180,-1.7e-05,1647440102.38147
181,-2e-05,1647440107.381418
182,-1.8e-05,1647440112.381589
183,-1.8e-05,1647440117.3814616
184,-2.1e-05,1647440122.3814209
185,-1.7e-05,1647440127.3814828
186,-1.3e-05,1647440132.3814418
187,-1.7e-05,1647440137.3813844
188,-1.7e-05,1647440142.3814206
189,-1.7e-05,1647440147.381415
190,-2e-05,1647440152.3814151
191,-2e-05,1647440157.3814569
192,-1.9e-05,1647440162.3814466
193,-2e-05,1647440167.3814604
194,-1.7e-05,1647440172.3814485
195,-2.1e-05,1647440177.3814142
196,-2.1e-05,1647440182.3814814
197,-2e-05,1647440187.381436
198,-1.7e-05,1647440192.381431
199,-1.7e-05,1647440197.3814538
200,-1.8e-05,1647440202.3814518
201,-1.8e-05,1647440207.3814075
202,-1.9e-05,1647440212.3813086
203,-2e-05,1647440217.3814247
204,-1.8e-05,1647440222.3814178
205,-1.9e-05,1647440227.381452
206,-2e-05,1647440232.38147
207,-2.2e-05,1647440237.3813927
208,-2.1e-05,1647440242.3814085
209,-2e-05,1647440247.381371
210,-2.1e-05,1647440252.3814502
211,-2.2e-05,1647440257.381462
212,-2.3e-05,1647440262.3814137
213,-2.2e-05,1647440267.3814418
214,-2.4e-05,1647440272.3814805
215,-2.1e-05,1647440277.3814466
216,-1.9e-05,1647440282.3814826
217,-1.8e-05,1647440287.3814306
218,-2e-05,1647440292.381425
219,-1.8e-05,1647440297.3814976
220,-1.4e-05,1647440302.3813708
221,-1.8e-05,1647440307.3814836
222,-1.8e-05,1647440312.3813715
223,-1.7e-05,1647440317.3814716
224,-2e-05,1647440322.3813832
225,-2.1e-05,1647440327.381451
226,-1.8e-05,1647440332.381433
227,-2e-05,1647440337.381436
228,-1.7e-05,1647440342.3814175
229,-1.6e-05,1647440347.3813767
230,-1.8e-05,1647440352.381355
231,-1.6e-05,1647440357.3814483
232,-1.7e-05,1647440362.3813517
233,-2e-05,1647440367.381475
234,-2e-05,1647440372.3813877
235,-1.7e-05,1647440377.3814003
236,-1.7e-05,1647440382.381384
237,-1.8e-05,1647440387.381464
238,-1.9e-05,1647440392.3813317
239,-1.9e-05,1647440397.3814464
240,-1.8e-05,1647440402.3814218
241,-1.7e-05,1647440407.3814216
242,-1.8e-05,1647440412.3813803
243,-1.9e-05,1647440417.3813708
244,-2e-05,1647440422.3814056
245,-1.8e-05,1647440427.381435
246,-1.6e-05,1647440432.3813798
247,-1.6e-05,1647440437.3814375
248,-2.1e-05,1647440442.3814092
249,-1.8e-05,1647440447.3814466
250,-1.9e-05,1647440452.381384
251,-2.2e-05,1647440457.381436
252,-1.9e-05,1647440462.3814466
253,-1.8e-05,1647440467.3814206
254,-1.7e-05,1647440472.3814359
255,-1.7e-05,1647440477.3813672
256,-1.8e-05,1647440482.3814046
257,-1.9e-05,1647440487.3814473
258,-1.6e-05,1647440492.3813798
259,-2.1e-05,1647440497.3814027
260,-2e-05,1647440502.3814864
261,-1.7e-05,1647440507.3814414
262,-2e-05,1647440512.3814764
263,-2e-05,1647440517.381409
264,-2e-05,1647440522.381338
265,-1.9e-05,1647440527.3814826
266,-1.8e-05,1647440532.3814607
267,-1.9e-05,1647440537.3814454
268,-1.9e-05,1647440542.381394
269,-1.6e-05,1647440547.381418
270,-1.8e-05,1647440552.3813972
271,-1.8e-05,1647440557.3814225
272,-1.9e-05,1647440562.3814116
273,-1.8e-05,1647440567.381422
274,-2e-05,1647440572.3813636
275,-2e-05,1647440577.3814592
276,-2e-05,1647440582.3814278
277,-1.8e-05,1647440587.381426
278,-1.5e-05,1647440592.3813696
279,-1.5e-05,1647440597.3814242
280,-1.7e-05,1647440602.3813937
