,LST,RA,DEC
99,5.366111401722154,0.15437256115297562,0.06654706775662107
100,5.366476149258015,0.1543734815424186,0.06654746026967727
101,5.366840741300011,0.15437440153947385,0.06654785261531797
102,5.367205362680458,0.15437532161062165,0.06654824499248033
103,5.367569963523975,0.1543762416299637,0.06654863734747317
104,5.367934573169012,0.15437716167151944,0.06654902971186318
105,5.368299179880246,0.15437808170571363,0.06654942207303755
106,5.368663786591452,0.15437900173989982,0.06654981443413233
107,5.369028393302629,0.15437992177413135,0.06655020679517024
108,5.369392997080031,0.1543808418009485,0.06655059915297
109,5.369757603791265,0.15438176183521746,0.06655099151387141
110,5.37012220463475,0.15438268185466456,0.06655138386837572
111,5.370486805478293,0.15438360187415606,0.06655177622282281
112,5.370851406321806,0.15438452189366783,0.06655216857720236
