,all_voltages,all_times
533,-0.000187,1646717856.9939346
534,-0.000189,1646717862.9939098
535,-0.000193,1646717868.9980066
536,-0.000189,1646717874.9939067
537,-0.000192,1646717880.9939065
538,-0.000195,1646717886.993889
539,-0.000194,1646717892.9939084
540,-0.000198,1646717898.9938457
541,-0.000197,1646717904.9938948
542,-0.000193,1646717910.993873
543,-0.000196,1646717916.9939272
544,-0.000197,1646717922.9938698
545,-0.000194,1646717928.9939096
546,-0.000192,1646717934.992003
547,-0.00019,1646717940.993877
548,-0.000191,1646717946.9938939
549,-0.000185,1646717952.9939113
550,-0.000186,1646717958.9938872
551,-0.000187,1646717964.9939
552,-0.000186,1646717970.9939249
553,-0.000183,1646717976.993906
554,-0.000181,1646717982.9939258
555,-0.000185,1646717988.9939144
556,-0.000185,1646717994.9939175
557,-0.000183,1646718000.9939115
558,-0.000182,1646718006.9939153
559,-0.000186,1646718012.9938645
560,-0.000191,1646718018.993899
561,-0.000184,1646718024.9938233
562,-0.000185,1646718030.99392
563,-0.000182,1646718036.9938755
564,-0.000181,1646718042.9938478
565,-0.000185,1646718048.9939167
566,-0.000189,1646718054.993913
567,-0.000192,1646718060.9939497
568,-0.000193,1646718066.9939573
569,-0.000192,1646718072.9939182
570,-0.000193,1646718078.9939003
571,-0.000194,1646718084.9938955
572,-0.000191,1646718090.9938931
573,-0.000193,1646718096.993898
574,-0.000192,1646718102.9938574
575,-0.000195,1646718108.9939249
576,-0.000195,1646718114.9937978
577,-0.000195,1646718120.992305
578,-0.000193,1646718126.9939008
579,-0.000195,1646718132.9939213
580,-0.000197,1646718138.9939144
581,-0.000193,1646718144.9938774
582,-0.000187,1646718150.993902
583,-0.000192,1646718156.9916377
584,-0.000189,1646718162.9938843
585,-0.000183,1646718168.9938984
586,-0.000183,1646718174.993909
587,-0.000187,1646718180.9939082
588,-0.000188,1646718186.9938993
589,-0.000185,1646718192.9938977
590,-0.000184,1646718198.9938955
591,-0.000179,1646718204.993884
592,-0.000181,1646718210.9939096
593,-0.00018,1646718216.9939148
594,-0.000184,1646718222.9938972
595,-0.00018,1646718228.9938924
596,-0.000179,1646718234.9936142
597,-0.000183,1646718240.993887
598,-0.000185,1646718246.9939034
599,-0.000179,1646718252.9939122
600,-0.000182,1646718258.993907
601,-0.000185,1646718264.993896
602,-0.000184,1646718270.9939044
603,-0.000187,1646718276.993891
604,-0.000186,1646718282.9938686
605,-0.000184,1646718288.9939003
606,-0.000189,1646718294.9936411
607,-0.000184,1646718300.9938946
608,-0.000188,1646718306.9938893
609,-0.000194,1646718312.9938858
610,-0.000195,1646718318.9939122
611,-0.000194,1646718324.9922512
612,-0.00019,1646718330.9939208
613,-0.000193,1646718336.9939258
614,-0.000196,1646718342.993896
615,-0.000192,1646718348.991935
616,-0.000197,1646718354.9939203
617,-0.000189,1646718360.9939194
618,-0.000192,1646718366.9939365
619,-0.00019,1646718372.9939435
620,-0.000193,1646718378.9939165
621,-0.000193,1646718384.9939008
622,-0.000187,1646718390.993912
623,-0.000187,1646718396.9939208
624,-0.000188,1646718402.993838
625,-0.000188,1646718408.9939106
626,-0.000184,1646718415.014032
627,-0.000187,1646718420.993882
628,-0.000184,1646718426.9939294
629,-0.00018,1646718432.9939096
