,RA,Dec,LST
38,4.91316351879921,-0.40180467105957046,5.9126659917253
39,4.913164633701111,-0.4018045894164138,5.913030598472326
40,4.913165748575992,-0.4018045077747826,5.913395196417802
41,4.913166863468774,-0.4018044261313874,5.913759800230941
42,4.913167978397359,-0.40180434448491686,5.9141244157795185
43,4.9131690932900085,-0.40180426284062465,5.914489019592686
44,4.913170208182547,-0.4018041811958874,5.914853623405855
45,4.913171323057094,-0.40180409955201435,5.915218221351333
46,4.913172437994412,-0.4018040179030912,5.915582839833743
47,4.91317355290469,-0.4018039362556948,5.9159474495146025
48,4.913174667770048,-0.40180385461113494,5.916312044526249
49,4.913175782707091,-0.4018037729608719,5.916676663008632
50,4.9131768975992705,-0.4018036913134412,5.91704126682183
51,4.913178012500292,-0.4018036096649098,5.917405873568831
52,4.913179127401247,-0.40180352801592994,5.917770480315832
53,4.913180242257306,-0.4018034463697846,5.9181350723936506
54,4.913181357194016,-0.4018033647172795,5.918499690876005
55,4.913182472094761,-0.4018032830669553,5.918864297623037
56,4.913183586950574,-0.4018032014194682,5.919228889700827
57,4.913184701860176,-0.4018031197675886,5.91959349938169
58,4.9131858167786575,-0.4018030381146054,5.919958111996383
59,4.913186931688088,-0.40180295646183184,5.920322721677275
60,4.9131880465436195,-0.4018028748125526,5.920687313755038
61,4.913189161443999,-0.40180279315953527,5.92105192050207
62,4.91319027636216,-0.40180271150476227,5.921416533116794
63,4.913191391262362,-0.4018026298508515,5.921781139863799
64,4.913192506126596,-0.4018025481991214,5.922145734875452
65,4.913193621053522,-0.4018024665423472,5.922510350424006
66,4.913194735953478,-0.40180238488709435,5.922874957171012
67,4.913195850871325,-0.4018023032300781,5.923239569785765
68,4.91319696575325,-0.40180222157523954,5.923604170665081
69,4.913198080617121,-0.40180213992126984,5.923968765676706
70,4.913199195525781,-0.4018020582635669,5.924333375357572
71,4.913200310434362,-0.4018019766054161,5.924697985038468
72,4.913201425307026,-0.4018018949494426,5.925062582983924
73,4.913202540224447,-0.40180181328973763,5.925427195598652
74,4.913203655114861,-0.40180173163155775,5.925791799411828
75,4.913204770032131,-0.4018016499709574,5.926156412026526
76,4.913205884904522,-0.401801568313191,5.926521009972013
77,4.9132069998037,-0.40180148665300935,5.926885616719022
78,4.9132081147028055,-0.4018014049923796,5.927250223466031
79,4.913209229601877,-0.4018013233312992,5.927614830213069
80,4.913210344464968,-0.4018012416724008,5.927979425224725
81,4.913211459363861,-0.4018011600104267,5.9283440319717355
82,4.91321257428962,-0.4018010783460319,5.9287086475202955
83,4.913213689188432,-0.40180099668315716,5.929073254267334
84,4.9132148040781365,-0.4018009150204965,5.929437858080514
85,4.913215918967883,-0.4018008333573795,5.929802461893722
86,4.913217033866507,-0.40180075169315893,5.9301670686407615
87,4.913218148773978,-0.401800670027837,5.930531678321604
88,4.913219263627532,-0.40180058836601107,5.930896270399404
89,4.913220378552782,-0.40180050669848044,5.931260885947995
90,4.913221493460009,-0.4018004250318165,5.931625495628839
91,4.913222608358228,-0.4018003433653591,5.931990102375879
92,4.913223723238387,-0.4018002616997714,5.93235470325523
93,4.913224838118506,-0.40180018003373336,5.932719304134524
94,4.913225953043412,-0.40180009836396136,5.933083919683117
95,4.913227067941339,-0.4018000166957122,5.933448526430159
96,4.913228182785339,-0.4017999350309602,5.9338131155741
97,4.913229297727985,-0.40179985335852897,5.934177736990356
98,4.91323041261669,-0.40179977168959546,5.9345423408035405
99,4.913231527092675,-0.40179969005044214,5.934906809659752
100,4.913232642420832,-0.40179960834841083,5.935271557231429
101,4.913233757264508,-0.40179952668141605,5.935636146375401
102,4.91323487220679,-0.40179944500674497,5.936000767791658
103,4.913235987086173,-0.40179936333622784,5.936365368670984
104,4.913237102001383,-0.4017992816626335,5.936729981285719
105,4.913238216898633,-0.4017991999899012,5.937094588032764
106,4.913239331795759,-0.40179911831672466,5.937459194779781
107,4.91324044668383,-0.40179903664375854,5.937823798592995
108,4.913241561571858,-0.40179895497034207,5.938188402406182
109,4.9132426764687995,-0.4017988732958189,5.9385530091532
110,4.913243791356656,-0.4017987916215087,5.938917612966387
111,4.913244906235498,-0.4017987099474054,5.939282213845742
112,4.913246021114276,-0.4017986282728534,5.93964681472507
113,4.9132471359929735,-0.40179854659785424,5.940011415604428
114,4.913248250925428,-0.40179846491846327,5.940376034086857
115,4.913249365812936,-0.4017983832419121,5.940740637900017
116,4.913250480718352,-0.40179830156359564,5.941105247580924
117,4.913251595587791,-0.4017982198874615,5.941469845526423
118,4.913252710493041,-0.40179813820825044,5.941834455207303
119,4.913253824949654,-0.4017980565614543,5.94219891819583
120,4.913254940285389,-0.4017979748497986,5.942563668701344
121,4.913256058177823,-0.40179789295037927,5.942929255353223
122,4.913257170068484,-0.4017978114902116,5.943292879261585
123,4.913258284973372,-0.40179772980876105,5.943657488942466
124,4.91325939986925,-0.401797648127517,5.944022095689488
125,4.913260514747097,-0.4017975664471408,5.9443866965688485
126,4.913261629660748,-0.4017974847636882,5.94475130918359
127,4.913262744547404,-0.40179740308176004,5.945115912996753
128,4.9132638594340445,-0.4017973213993798,5.945480516809974
129,4.9132649743474825,-0.4017972397145829,5.9458451294247165
130,4.913266089215975,-0.40179715803262595,5.94620972737019
131,4.913267204102372,-0.4017970763489035,5.946574331183383
132,4.913268319006619,-0.4017969946634202,5.946938940864296
133,4.913269433892851,-0.40179691297880366,5.94730354467746
134,4.913270548788012,-0.40179683129307947,5.947668151424514
135,4.913271663683101,-0.4017967496069073,5.948032758171568
136,4.913272778560147,-0.40179666792160385,5.948397359050902
137,4.913273893455063,-0.40179658623453784,5.9487619657979565
138,4.913275008367891,-0.40179650454570603,5.949126578412673
139,4.913276123244752,-0.40179642285905626,5.949491179292038
140,4.913277238130479,-0.4017963411713038,5.9498557831052326
141,4.913278353061017,-0.40179625947981473,5.95022040158767
142,4.913279467937666,-0.40179617779182086,5.950585002466978
143,4.9132805828142345,-0.40179609610337935,5.950949603346343
144,4.913281697708654,-0.40179601441317686,5.9513142100934
145,4.913282812594066,-0.40179593272318104,5.951678813906568
146,4.913283927506295,-0.401795851030767,5.952043426521315
147,4.913285042391557,-0.40179576933987565,5.952408030334541
148,4.913286157276727,-0.40179568764853785,5.952772634147711
149,4.913287272170822,-0.4017956059560925,5.953137240894768
150,4.913288387046894,-0.401795524264515,5.953501841774135
151,4.913289501940856,-0.4017954425711726,5.953866448521165
152,4.913290616843684,-0.4017953608767279,5.954231058202056
153,4.913291731719511,-0.4017952791838083,5.9545956590814235
154,4.91329284661326,-0.40179519748912207,5.954960265828453
155,4.9132939614979545,-0.4017951157946462,5.955324869641654
156,4.913295076409474,-0.4017950340977515,5.955689482256404
157,4.913296191294,-0.4017949524023812,5.956054086069604
158,4.913297312978596,-0.4017948702082648,5.956420913738687
159,4.913298421062891,-0.40179478901029275,5.956783293696034
160,4.913299535947208,-0.4017947073135783,5.957147897509207
161,4.9133006508404495,-0.4017946256157563,5.957512504256268
162,4.9133017657426,-0.40179454391682834,5.95787711393716
163,4.913302880635677,-0.401794462218112,5.958241720684223
164,4.9133039955197315,-0.4017943805196035,5.958606324497367
165,4.913305110439557,-0.40179429881802026,5.9589709400459805
166,4.9133062253055275,-0.40179421711993074,5.959335537991464
167,4.913307340180361,-0.40179413542073816,5.959700138870836
168,4.913308455082083,-0.40179405371912186,5.960064748551759
169,4.91330956996579,-0.4017939720183725,5.960429352364934
170,4.91331068486734,-0.4017938903158623,5.960793962045857
171,4.913311799750867,-0.40179380861421954,5.961158565859062
172,4.913312914634393,-0.4017937269121235,5.961523169672238
173,4.913314029535731,-0.40179364520826927,5.9618877793531615
174,4.9133151444369965,-0.4017935635039667,5.962252389034058
175,4.913316259311269,-0.4017934818011892,5.962616989913432
176,4.91331737420348,-0.4017934000966438,5.962981596660469
177,4.913318489077605,-0.4017933183929706,5.9633461975398445
178,4.913319603969619,-0.40179323668753303,5.963710804286882
179,4.913320718861585,-0.40179315498164586,5.964075411033948
180,4.9133218337534785,-0.40179307327531033,5.964440017780986
181,4.91332294864528,-0.4017929915685287,5.964804624528053
182,4.913324063528055,-0.40179290986195487,5.965169228341261
183,4.913325178419706,-0.40179282815427786,5.9655338350883
184,4.913326293302348,-0.4017927464468074,5.965898438901536
185,4.91332740819389,-0.40179266473823155,5.9662630456486045
186,4.913328523094302,-0.40179258302855236,5.966627655329447
187,4.913329637967755,-0.4017925013203958,5.966992256208824
