,Voltages,Times
156,-0.000531,1648656690.0873005
157,1e-05,1648656695.0873
158,0.000426,1648656700.1177487
159,0.00054,1648656705.0872333
160,0.000347,1648656710.087219
161,-9.4e-05,1648656715.0872416
162,-0.000658,1648656720.087257
163,-0.001057,1648656725.0872958
164,-0.001118,1648656730.0872545
165,-0.000846,1648656735.0873964
166,-0.000272,1648656740.0872686
167,0.000109,1648656745.0872357
168,0.000358,1648656750.0872903
169,0.000379,1648656755.0872498
170,8.8e-05,1648656760.087307
171,-0.00049,1648656765.0872838
172,-0.001026,1648656770.0872428
173,-0.001261,1648656775.0873144
174,-0.001107,1648656780.0873392
175,-0.000605,1648656785.0872648
176,-8.4e-05,1648656790.087303
177,0.000375,1648656795.0872488
178,0.000512,1648656800.0872488
179,0.000309,1648656805.087241
180,-0.000174,1648656810.0872788
181,-0.000696,1648656815.0872676
182,-0.001039,1648656820.087256
183,-0.00106,1648656825.0872593
184,-0.000749,1648656830.0872462
185,-0.000237,1648656835.0872495
186,0.000303,1648656840.0873246
187,0.000589,1648656845.0872512
188,0.000496,1648656850.0872686
189,8.1e-05,1648656855.087293
190,-0.00055,1648656860.0872414
191,-0.00104,1648656865.0872476
192,-0.001224,1648656870.0872836
193,-0.001012,1648656875.0871994
194,-0.000495,1648656880.08728
195,9.4e-05,1648656885.0872755
196,0.000419,1648656890.0872836
197,0.000512,1648656895.0872293
198,0.000168,1648656900.0872648
199,-0.000368,1648656905.0872257
200,-0.000979,1648656910.0872972
201,-0.001194,1648656915.0872936
202,-0.001072,1648656920.0872583
203,-0.000673,1648656925.0873077
204,-0.000122,1648656930.08728
205,0.000227,1648656935.087247
206,0.000449,1648656940.0872862
207,0.00023,1648656945.0872762
208,-0.000179,1648656950.0872166
209,-0.000672,1648656955.0872903
210,-0.00101,1648656960.0872622
211,-0.001028,1648656965.0872347
212,-0.000781,1648656970.0872362
213,-0.000243,1648656975.0872383
214,0.000324,1648656980.0872858
215,0.000612,1648656985.0872877
216,0.000395,1648656990.0873108
217,1e-05,1648656995.0872498
218,-0.000551,1648657000.0872326
219,-0.000971,1648657005.0872786
220,-0.001106,1648657010.087242
221,-0.000864,1648657015.087236
222,-0.000388,1648657020.0872257
223,0.000295,1648657025.0872283
224,0.0006,1648657030.087283
225,0.000512,1648657035.087359
226,0.000131,1648657040.087257
227,-0.000443,1648657045.0872316
228,-0.000961,1648657050.087301
229,-0.001209,1648657055.0871708
230,-0.001086,1648657060.0873349
231,-0.000596,1648657065.0873055
232,3.4e-05,1648657070.0871766
233,0.000535,1648657075.0870113
234,0.000564,1648657080.087179
235,0.000167,1648657085.0872092
236,-0.00039,1648657090.0871856
237,-0.000896,1648657095.0871508
238,-0.001229,1648657100.0872226
239,-0.001163,1648657105.0871716
240,-0.000683,1648657110.0872858
241,-8.2e-05,1648657115.0870178
242,0.000404,1648657120.087238
243,0.000531,1648657125.087177
244,0.000282,1648657130.0872695
245,-0.000253,1648657135.087273
246,-0.000825,1648657140.0872629
247,-0.001151,1648657145.0872061
248,-0.001092,1648657150.087153
249,-0.000645,1648657155.08725
250,-8.1e-05,1648657160.0873163
251,0.000524,1648657165.0872242
252,0.000775,1648657170.0873094
253,0.000474,1648657175.087289
254,-0.000189,1648657180.0872426
255,-0.000785,1648657185.0871804
256,-0.001113,1648657190.0872588
257,-0.001094,1648657195.0872738
258,-0.000651,1648657200.0871732
259,-0.000125,1648657205.0872653
260,0.000329,1648657210.0836
261,0.000465,1648657215.087295
262,0.00021,1648657220.0872743
263,-0.000245,1648657225.0872848
264,-0.000785,1648657230.0872333
265,-0.001172,1648657235.0872731
266,-0.001155,1648657240.0873044
267,-0.000759,1648657245.08721
268,-0.000168,1648657250.0872848
269,0.000305,1648657255.0873055
270,0.000497,1648657260.087256
271,0.000295,1648657265.0872858
272,-0.000214,1648657270.0873027
273,-0.000757,1648657275.0872176
274,-0.001088,1648657280.0872378
275,-0.001087,1648657285.087309
276,-0.000702,1648657290.0872905
277,-0.000145,1648657295.087272
278,0.000309,1648657300.0872643
279,0.000475,1648657305.0872912
280,0.000245,1648657310.087295
281,-0.000247,1648657315.0872738
282,-0.000781,1648657320.087297
283,-0.001118,1648657325.0872886
284,-0.001064,1648657330.0872788
285,-0.000653,1648657335.0872822
