,Voltages,Times
364,3.2e-05,1647450003.871525
365,3.2e-05,1647450008.8715386
366,3.2e-05,1647450013.871514
367,3.1e-05,1647450018.871526
368,3.1e-05,1647450023.8715277
369,3e-05,1647450028.871496
370,2.9e-05,1647450033.8715358
371,2.5e-05,1647450038.8715446
372,2.4e-05,1647450043.8693597
373,2.8e-05,1647450048.871503
374,2.8e-05,1647450053.8715553
375,2.8e-05,1647450058.8715527
376,2.8e-05,1647450063.8714857
377,2.9e-05,1647450068.8715324
378,3.3e-05,1647450073.8715186
379,3.2e-05,1647450078.871532
380,3.2e-05,1647450083.8715289
381,3e-05,1647450088.8693416
382,3.4e-05,1647450093.8715336
383,3.1e-05,1647450098.87148
384,2.6e-05,1647450103.8714619
385,2.7e-05,1647450108.871535
386,2.9e-05,1647450113.8715382
387,3e-05,1647450118.8715096
388,3e-05,1647450123.8715477
389,3e-05,1647450128.8715549
390,3.1e-05,1647450133.8715158
391,3e-05,1647450138.8715267
392,3e-05,1647450143.8715012
393,2.8e-05,1647450148.871532
394,2.8e-05,1647450153.8715312
395,2.8e-05,1647450158.871506
396,2.7e-05,1647450163.8715038
397,2.6e-05,1647450168.8715584
398,2.5e-05,1647450173.8715181
399,2.6e-05,1647450178.8715227
400,2.3e-05,1647450183.9089642
401,2.4e-05,1647450188.8714774
402,2.7e-05,1647450193.871495
403,2.7e-05,1647450198.871486
404,2.7e-05,1647450203.8693416
405,2.6e-05,1647450208.8708434
406,2.5e-05,1647450213.8714755
407,2.8e-05,1647450218.8714359
408,2.9e-05,1647450223.8715026
409,2.8e-05,1647450228.8714726
410,3e-05,1647450233.8714712
411,2.7e-05,1647450238.8713849
412,2.8e-05,1647450243.871466
413,2.9e-05,1647450248.8714855
414,2.8e-05,1647450253.8714614
415,2.8e-05,1647450258.8714583
416,2.9e-05,1647450263.8714318
417,2.8e-05,1647450268.8714366
418,2.8e-05,1647450273.871539
419,2.7e-05,1647450278.871399
420,2.7e-05,1647450283.8714056
421,2.5e-05,1647450288.8715243
422,2.6e-05,1647450293.8714519
423,2.6e-05,1647450298.8714457
424,2.6e-05,1647450303.8714752
425,2.5e-05,1647450308.871409
426,2.9e-05,1647450313.871449
427,2.9e-05,1647450318.8715022
428,2.8e-05,1647450323.8715687
429,2.6e-05,1647450328.8714442
430,2.9e-05,1647450333.8715093
431,3.1e-05,1647450338.8715062
432,3e-05,1647450343.8714273
433,3e-05,1647450348.8714948
434,2.6e-05,1647450353.8714545
435,2.5e-05,1647450358.8714716
436,2.4e-05,1647450363.8714974
437,2.6e-05,1647450368.8714504
438,2.9e-05,1647450373.8714957
439,3e-05,1647450378.8714457
440,3.4e-05,1647450383.8714745
441,3.3e-05,1647450388.8714588
442,3.2e-05,1647450393.871471
443,3e-05,1647450398.8715456
444,3e-05,1647450403.8715205
445,3.3e-05,1647450408.8714507
446,3.2e-05,1647450413.8715355
447,2.8e-05,1647450418.8714595
448,2.8e-05,1647450423.871466
449,2.8e-05,1647450428.8714888
450,3.2e-05,1647450433.8714845
451,3.1e-05,1647450438.8714938
452,3.1e-05,1647450443.8715239
453,3e-05,1647450448.8714533
454,2.9e-05,1647450453.8715193
455,3.1e-05,1647450458.8714614
456,3.1e-05,1647450463.8714309
457,3e-05,1647450468.8715718
458,3e-05,1647450473.8715427
459,3e-05,1647450478.871483
460,3.1e-05,1647450483.871471
461,3.3e-05,1647450488.8715296
462,3.3e-05,1647450493.8714693
463,3.1e-05,1647450498.871539
464,3e-05,1647450503.871491
465,2.9e-05,1647450508.8715458
466,2.8e-05,1647450513.8714733
467,2.7e-05,1647450518.8714476
468,2.8e-05,1647450523.8714454
469,3.2e-05,1647450528.8713887
470,3.3e-05,1647450533.8714893
471,3e-05,1647450538.8715146
472,2.9e-05,1647450543.8715174
473,3.1e-05,1647450548.871463
474,3.3e-05,1647450553.8714998
475,3e-05,1647450558.871483
476,3.2e-05,1647450563.871472
477,3.1e-05,1647450568.8715408
478,3.2e-05,1647450573.8714845
479,3.1e-05,1647450578.871485
480,3.2e-05,1647450583.8715127
481,3.2e-05,1647450588.8715205
482,3.4e-05,1647450593.8715346
483,3.5e-05,1647450598.871471
484,3.5e-05,1647450603.8714812
485,3.7e-05,1647450608.8715172
486,3.4e-05,1647450613.8714898
487,3.2e-05,1647450618.8714757
488,3.2e-05,1647450623.8714995
489,3.3e-05,1647450628.8714378
490,3.5e-05,1647450633.8714986
491,3.5e-05,1647450638.8714724
492,3.4e-05,1647450643.871474
493,3.5e-05,1647450648.8714902
494,3.6e-05,1647450653.871504
495,3.5e-05,1647450658.8714542
496,3.6e-05,1647450663.871478
497,3.3e-05,1647450668.871456
498,3.4e-05,1647450673.8714828
499,3.2e-05,1647450678.871404
500,3.2e-05,1647450683.8693442
501,3.2e-05,1647450688.871513
502,3.3e-05,1647450693.8715413
503,3.2e-05,1647450698.8715315
504,3.2e-05,1647450703.8715117
505,3.4e-05,1647450708.8714285
506,3.2e-05,1647450713.8714764
507,3.2e-05,1647450718.8715317
508,3.5e-05,1647450723.8714437
509,3.4e-05,1647450728.8715143
510,3.4e-05,1647450733.871572
511,3.6e-05,1647450738.8715525
512,3.3e-05,1647450743.8714976
513,3.5e-05,1647450748.8715758
514,3.3e-05,1647450753.871514
515,3.1e-05,1647450758.8715162
516,3.4e-05,1647450763.8714721
517,3.4e-05,1647450768.871596
518,3.3e-05,1647450773.871483
519,3.5e-05,1647450778.8715358
520,3.3e-05,1647450783.8714988
521,3.5e-05,1647450788.8714247
522,3.6e-05,1647450793.8714716
523,3.5e-05,1647450798.8715162
524,3.4e-05,1647450803.8714275
525,3.2e-05,1647450808.8715062
526,3.3e-05,1647450813.8714652
527,3.2e-05,1647450818.8715236
528,3.2e-05,1647450823.8715115
529,3.1e-05,1647450828.8714795
530,2.9e-05,1647450833.871464
531,2.9e-05,1647450838.87147
532,3.2e-05,1647450843.8714
533,3.4e-05,1647450848.8714137
534,3.3e-05,1647450853.8715081
535,3.7e-05,1647450858.8713238
536,3.7e-05,1647450863.8714514
537,3.7e-05,1647450868.8714616
538,3.4e-05,1647450873.8714538
539,3.6e-05,1647450878.8715231
540,3.4e-05,1647450883.871492
541,3.3e-05,1647450888.8714893
542,3.4e-05,1647450893.8714895
543,3.4e-05,1647450898.871514
